date,Date,CDID,Value,Value_s,series,frequency,year
2019 MAR,2019-3-15,L55O,1.8,1.8,CPIH,monthly,2019
2019 MAY,2019-5-15,CZBH,3.0,3.0,RPI,monthly,2019
2019 MAY,2019-5-15,D7G7,2.0,2.0,CPI,monthly,2019
2019 MAY,2019-5-15,L55O,1.9,1.9,CPIH,monthly,2019
2019 NOV,2019-11-15,CZBH,2.2,2.2,RPI,monthly,2019
2019 NOV,2019-11-15,D7G7,1.5,1.5,CPI,monthly,2019
2019 NOV,2019-11-15,L55O,1.5,1.5,CPIH,monthly,2019
2019 OCT,2019-10-15,CZBH,2.1,2.1,RPI,monthly,2019
2019 OCT,2019-10-15,D7G7,1.5,1.5,CPI,monthly,2019
2019 OCT,2019-10-15,L55O,1.5,1.5,CPIH,monthly,2019
2019 SEP,2019-9-15,CZBH,2.4,2.4,RPI,monthly,2019
2019 SEP,2019-9-15,D7G7,1.7,1.7,CPI,monthly,2019
2019 SEP,2019-9-15,L55O,1.7,1.7,CPIH,monthly,2019
2020 APR,2020-4-15,CZBH,1.5,1.5,RPI,monthly,2020
2020 APR,2020-4-15,D7G7,0.8,0.8,CPI,monthly,2020
2020 APR,2020-4-15,L55O,0.9,0.9,CPIH,monthly,2020
2020 AUG,2020-8-15,CZBH,0.5,0.5,RPI,monthly,2020
2020 AUG,2020-8-15,D7G7,0.2,0.2,CPI,monthly,2020
2020 AUG,2020-8-15,L55O,0.5,0.5,CPIH,monthly,2020
2020 DEC,2020-12-15,CZBH,1.2,1.2,RPI,monthly,2020
2020 DEC,2020-12-15,D7G7,0.6,0.6,CPI,monthly,2020
2020 DEC,2020-12-15,L55O,0.8,0.8,CPIH,monthly,2020
2020 FEB,2020-2-15,CZBH,2.5,2.5,RPI,monthly,2020
2020 FEB,2020-2-15,D7G7,1.7,1.7,CPI,monthly,2020
2020 FEB,2020-2-15,L55O,1.7,1.7,CPIH,monthly,2020
2020 JAN,2020-1-15,CZBH,2.7,2.7,RPI,monthly,2020
2020 JAN,2020-1-15,D7G7,1.8,1.8,CPI,monthly,2020
2020 JAN,2020-1-15,L55O,1.8,1.8,CPIH,monthly,2020
2020 JUL,2020-7-15,CZBH,1.6,1.6,RPI,monthly,2020
2020 JUL,2020-7-15,D7G7,1.0,1.0,CPI,monthly,2020
2020 JUL,2020-7-15,L55O,1.1,1.1,CPIH,monthly,2020
2020 JUN,2020-6-15,CZBH,1.1,1.1,RPI,monthly,2020
2020 JUN,2020-6-15,D7G7,0.6,0.6,CPI,monthly,2020
2020 JUN,2020-6-15,L55O,0.8,0.8,CPIH,monthly,2020
2020 MAR,2020-3-15,CZBH,2.6,2.6,RPI,monthly,2020
2020 MAR,2020-3-15,D7G7,1.5,1.5,CPI,monthly,2020
2020 MAR,2020-3-15,L55O,1.5,1.5,CPIH,monthly,2020
2020 MAY,2020-5-15,CZBH,1.0,1.0,RPI,monthly,2020
2020 MAY,2020-5-15,D7G7,0.5,0.5,CPI,monthly,2020
2020 MAY,2020-5-15,L55O,0.7,0.7,CPIH,monthly,2020
2020 NOV,2020-11-15,CZBH,0.9,0.9,RPI,monthly,2020
2020 NOV,2020-11-15,D7G7,0.3,0.3,CPI,monthly,2020
2020 NOV,2020-11-15,L55O,0.6,0.6,CPIH,monthly,2020
2020 OCT,2020-10-15,CZBH,1.3,1.3,RPI,monthly,2020
2020 OCT,2020-10-15,D7G7,0.7,0.7,CPI,monthly,2020
2020 OCT,2020-10-15,L55O,0.9,0.9,CPIH,monthly,2020
2020 SEP,2020-9-15,CZBH,1.1,1.1,RPI,monthly,2020
2020 SEP,2020-9-15,D7G7,0.5,0.5,CPI,monthly,2020
2020 SEP,2020-9-15,L55O,0.7,0.7,CPIH,monthly,2020
2021 JAN,2021-1-15,CZBH,1.4,1.4,RPI,monthly,2021
2021 JAN,2021-1-15,D7G7,0.7,0.7,CPI,monthly,2021
2021 JAN,2021-1-15,L55O,0.9,0.9,CPIH,monthly,2021
